"zone","state","lga","sector","ea","hhid","plotid","s11b1q2","s11b1q3","s11b1q4","s11b1q5","s11b1q6_1","s11b1q6_2","s11b1q6_3","s11b1q6_4","s11b1q6_5","s11b1q6_6","s11b1q6_7","s11b1q6_8","s11b1q6_9","s11b1q6_10","s11b1q6_11","s11b1q6_12","s11b1q6_13","s11b1q7","s11b1q8_1","s11b1q8_2","s11b1q8_3","s11b1q8_5","s11b1q8b1_1","s11b1q8b1_2","s11b1q8b1_3","s11b1q8b1_4","s11b1q8b1_5","s11b1q8b1_6","s11b1q8b1_7","s11b1q8b1_8","s11b1q8b1_9","s11b1q8b1_10","s11b1q8b1_11","s11b1q8b1_12","s11b1q8b1_13","s11b1q8b2_1","s11b1q8b2_2","s11b1q8b2_3","s11b1q8b2_4","s11b1q8b2_5","s11b1q8b2_6","s11b1q8b3_1","s11b1q8b3_2","s11b1q8b3_3","s11b1q8b3_4","s11b1q8b3_5","s11b1q8b3_6","s11b1q8b4_1","s11b1q8b4_2","s11b1q8b4_3","s11b1q8b4_4","s11b1q8b4_5","s11b1q8b4_6","s11b1q8b4_7","s11b1q8a","s11b1q9_1","s11b1q9_2","s11b1q9_4","s11b1q9_5","s11b1q9_6","s11b1q9_3","s11b1q9_os","s11b1q9a","s11b1q10_1","s11b1q10_2","s11b1q10_3","s11b1q10_4","s11b1q10_5","s11b1q10_6","s11b1q10_7","s11b1q10_8","s11b1q10_os","s11b1q10cc","s11b1q10dd","s11b1q10e_1","s11b1q10e_2","s11b1q10e_3","s11b1q13","s11b1q13a","s11b1q13a_os","s11b1q14","s11b1q14a","s11b1q17","s11b1q16a_1","s11b1q16a_2","s11b1q16_1","s11b1q16_2","s11b1q16_3","s11b1q16_4","s11b1q16_5","s11b1q16_6","s11b1q16_7","s11b1q16_8","s11b1q14a1","s11b1q14b1","s11b1q19","s11b1q19a","s11b1q20","s11b1q21","s11b1q22_1","s11b1q22_2","s11b1q22_3","s11b1q22_4","s11b1q22_5","s11b1q22_6","s11b1q22_7","s11b1q22_8","s11b1q22_9","s11b1q23a","s11b1q23b_1","s11b1q23b_2","s11b1q23b_3","s11b1q23b_4","s11b1q23b_5","s11b1q23b_6","s11b1q23b_7","s11b1q23b_8","s11b1q23b_9","s11b1q23b_10","s11b1q23b_11","s11b1q23b_12","s11b1q23b_13","s11b1q23b_14","s11b1q23b_15","s11b1q23b_16","s11b1q23b_17","s11b1q23b_18","s11b1q23b_19","s11b1q23b_20","s11b1q23b_21","s11b1q23c_1","s11b1q23c_2","s11b1q23c_3","s11b1q23c_4","s11b1q23c_5","s11b1q23c_6","s11b1q23c_7","s11b1q23c_8","s11b1q23c_9","s11b1q23c_n999","s11b1q23c_os","s11b1q24","s11b1q25a_1","s11b1q25a_2","s11b1q25a_3","s11b1q25a_4","s11b1q25a_5","s11b1q25a_6","s11b1q25a_7","s11b1q25a_8","s11b1q25a_9","s11b1q25a_10","s11b1q25a_11","s11b1q25a_12","s11b1q25a_13","s11b1q25","s11b1q25_os","s11b1q26a","s11b1q26","s11b1q28","s11b1q28_os","s11b1q28a","s11b1q29a","s11b1q31","s11b1q32","s11b1q32_os","s11b1q33","s11b1q34","s11b1q34_os","s11b1q35a","s11b1q35b","s11b1q35","s11b1q37a","s11b1q37b","s11b1q39","s11b1q40","s11b1q40_os","s11b1q41_1","s11b1q41_2","s11b1q41_3","s11b1q41_4","s11b1q41_5","s11b1q41_6","s11b1q41_7","s11b1q41_8","s11b1q41_9","s11b1q41_os","s11b1q42","s11b1q43","s11b1q43_os","s11b1q44","s11b1q44_os","s11b1q45","s11b1q46","s11b1q47","s11b1q48_1","s11b1q48_2","s11b1q48_7","s11b1q48_3","s11b1q48_4","s11b1q48_5","s11b1q48_6","s11b1q48_os","s11b1q49","s11b1q50_1","s11b1q50_2","s11b1q50_3","s11b1q50_4","s11b1q50_5","s11b1q50_6","s11b1q50_7","s11b1q50_8","s11b1q50_9","s11b1q50_10","s11b1q50_os","s11b1q51","s11b1q27","s11b1q11a","s11b1q11b","s11b1q11b_os"
4,1,107,2,1044,10062,1,1,1960,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,1,1000000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
4,1,107,2,1044,10062,2,1,1960,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,1,650000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
4,1,107,2,1044,10062,3,1,1970,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,350000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
4,1,107,2,1044,10063,1,6,2018,4,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,3,200000,,,,,,,,,,,,,,,,1,6,"RAIN",0,0,0,0,0,0,0,0,1,"RAINY",1,1,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,107,2,1044,10063,2,6,2018,5,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,3,500000,,,,,,,,,,,,,,,,1,6,"RAIN",0,0,0,0,0,0,0,0,1,"RAIN",1,1,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,107,2,1044,10063,3,6,2018,5,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,3,300000,,,,,,,,,,,,,,,,1,6,"RAIN",0,0,0,0,0,0,0,0,1,"RAIN",2,1,,4,,1,3,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,107,2,1044,10064,1,1,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,3,800000,,,,,,,,,,,,,,,,1,6,"RAIN",0,0,0,0,0,0,0,0,1,"RAIN",1,1,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,1044,10064,2,1,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,1,2,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,3,800000,,,,,,,,,,,,,,,,1,6,"RAIN WATER",0,0,0,0,0,0,0,0,1,"RAIN",1,1,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,1044,10064,3,1,9999,5,,1,2,4,5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,1,2,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,2,20000000,,,,,,,,,,,,,,,,1,6,"RAIN",0,0,0,0,0,0,0,0,1,"RAIN",1,1,,5,,1,3,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,102,1,0,10065,1,7,2018,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,1,,0,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,102,1,0,10065,2,7,9999,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,,2,,,,,,,,,,,,,,50,,4,3000000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,1044,10066,1,2,1980,5,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,1,500000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,1044,10066,2,2,1950,5,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,6,,,,,,,,,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,1,300000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,1044,10067,1,1,2018,5,,1,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,6,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,200000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,1044,10067,2,1,2018,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,6,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,50,,1,150000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,1044,10067,4,1,2018,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,100000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,1044,10068,1,3,9999,5,,1,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,2,,,,,,,,,,,,,,50,,1,600000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,1044,10068,2,2,9999,5,,1,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,3,2,3,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,2,,,,,,,,,,,,,,50,,1,200000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,2,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,1044,10069,1,13,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,1,10000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,1044,10069,2,13,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,2,,,,,,,,,,,,,,50,,1,250000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,0,10070,1,2,2018,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,1,,0,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,0,10070,2,2,2018,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,200000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
4,1,107,2,0,10070,3,2,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,500000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
4,1,117,2,560,10071,1,1,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,120000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,1,2,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,117,2,560,10071,2,1,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,80000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,2,2,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,117,2,560,10071,3,6,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,150000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,2,2,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,117,2,560,10071,4,6,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,500000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
4,1,117,2,560,10072,1,1,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,250000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,2,2,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,117,2,560,10072,2,1,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,80000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,2,2,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,117,2,560,10072,3,1,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,2500000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
4,1,117,2,560,10073,1,1,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,150000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,2,2,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,117,2,560,10073,2,1,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,120000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
4,1,117,2,560,10074,1,1,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,1,250000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,2,2,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,117,2,560,10074,2,1,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,5000000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
4,1,117,2,560,10075,1,1,9999,5,,1,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,3,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,,,,,,,,,,,,1,500000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
4,1,117,2,560,10075,2,1,9999,5,,1,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,,,,,,,,,,,,1,500000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
4,1,117,2,560,10075,3,1,9999,5,,1,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,,,,,,,,,,,,1,500000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
4,1,117,2,560,10076,1,2,9999,5,,1,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,1,500000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,2,2,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
4,1,117,2,560,10076,2,2,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,1,500000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,2,2,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
4,1,117,2,560,10076,3,2,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,1,1000000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
4,1,117,2,560,10077,1,2,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,1000000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
4,1,117,2,560,10077,2,2,9999,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,1000000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
4,1,117,2,560,10078,1,4,9999,5,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,1,500000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,2,2,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
